iter	Passed	Remaining
284	386	1647
285	387	1646
286	389	1645
287	390	1643
288	391	1642
289	393	1640
290	394	1639
291	397	1643
292	398	1642
293	399	1640
294	401	1639
295	402	1637
296	403	1636
297	405	1635
298	406	1634
299	408	1632
300	411	1639
301	413	1639
302	414	1639
303	416	1638
304	418	1638
305	420	1640
306	421	1639
307	423	1637
308	424	1636
309	425	1634
310	427	1633
311	428	1632
312	429	1630
313	431	1629
314	432	1627
315	434	1626
316	435	1625
317	436	1623
318	438	1622
319	439	1620
320	440	1619
321	442	1618
322	443	1616
323	445	1615
324	446	1614
325	447	1612
326	449	1611
327	450	1610
328	452	1608
329	453	1607
330	454	1606
331	456	1604
332	457	1603
333	458	1601
334	460	1600
335	461	1599
336	462	1597
337	464	1596
338	466	1596
339	467	1594
340	468	1593
341	470	1592
342	471	1590
343	472	1589
344	474	1587
345	475	1586
346	476	1584
347	478	1583
348	480	1583
349	481	1582
350	482	1580
351	484	1579
352	485	1578
353	486	1576
354	488	1575
355	489	1573
356	491	1572
357	492	1570
358	493	1569
359	495	1568
360	496	1567
361	498	1567
362	500	1566
363	501	1565
364	502	1563
365	504	1562
366	505	1560
367	506	1559
368	508	1557
369	509	1556
370	511	1555
371	512	1553
372	513	1552
373	515	1550
374	516	1549
375	517	1547
376	519	1546
377	520	1544
378	521	1543
379	523	1542
380	524	1541
381	526	1540
382	527	1539
383	528	1535
384	529	1534
385	531	1532
386	532	1531
387	533	1530
388	535	1528
389	536	1527
390	537	1525
391	539	1524
392	540	1523
393	542	1522
394	542	1518
395	543	1514
396	544	1512
397	545	1511
398	547	1510
399	548	1508
400	549	1507
401	551	1506
402	552	1504
403	554	1503
404	555	1502
405	557	1501
406	558	1499
407	559	1498
408	561	1496
409	562	1495
410	563	1494
411	565	1492
412	566	1491
413	567	1489
414	569	1488
415	569	1485
416	571	1483
417	572	1482
418	574	1480
419	575	1479
420	576	1478
421	578	1476
422	579	1475
423	580	1473
424	582	1472
425	583	1471
426	585	1470
427	586	1469
428	588	1468
429	589	1466
430	590	1465
431	592	1463
432	593	1462
433	594	1461
434	596	1459
435	597	1458
436	599	1457
437	600	1456
438	601	1454
439	602	1452
440	604	1450
441	605	1449
442	606	1448
443	608	1446
444	609	1445
445	610	1443
446	612	1442
447	614	1441
448	615	1441
449	617	1440
450	619	1439
451	620	1438
452	621	1437
453	623	1436
454	624	1434
455	626	1433
456	627	1432
457	629	1431
458	630	1431
459	632	1429
460	633	1428
461	635	1426
462	636	1425
463	637	1424
464	639	1422
465	640	1421
466	641	1419
467	643	1418
468	645	1418
469	646	1416
470	647	1415
471	649	1414
472	650	1412
473	652	1411
474	653	1410
475	654	1408
476	656	1407
477	657	1406
478	659	1405
479	660	1403
480	662	1402
481	663	1401
482	664	1399
483	666	1398
484	667	1396
485	668	1395
486	670	1393
487	671	1392
488	673	1391
489	674	1390
490	675	1388
491	677	1387
492	678	1386
493	679	1384
494	681	1383
495	682	1381
496	683	1380
497	685	1378
498	686	1377
499	688	1376
500	689	1374
501	690	1373
502	692	1371
503	693	1370
504	694	1369
505	696	1367
506	697	1366
507	698	1364
508	699	1361
509	700	1360
510	702	1358
511	703	1357
512	704	1356
513	707	1357
514	708	1355
515	710	1354
516	711	1353
517	713	1351
518	714	1350
519	715	1348
520	717	1347
521	718	1345
522	719	1344
523	721	1343
524	722	1341
525	723	1340
526	725	1338
527	726	1337
528	727	1336
529	729	1334
530	730	1333
531	731	1331
532	733	1330
533	734	1329
534	736	1327
535	737	1326
536	738	1324
537	740	1323
538	741	1322
539	743	1321
540	744	1320
541	746	1319
542	747	1317
543	748	1316
544	750	1314
545	751	1313
546	753	1311
547	754	1310
548	755	1309
549	757	1307
550	758	1306
551	759	1304
552	761	1303
553	762	1302
554	763	1300
555	765	1299
556	766	1297
557	768	1296
558	769	1295
559	770	1293
560	772	1292
561	773	1291
562	774	1289
563	776	1288
564	777	1286
565	779	1285
566	780	1284
567	781	1282
568	783	1281
569	784	1279
570	785	1278
571	787	1277
572	788	1275
573	789	1274
574	791	1272
575	792	1271
576	793	1268
577	794	1267
578	795	1266
579	797	1264
580	798	1263
581	799	1261
582	801	1260
583	802	1259
584	804	1257
585	805	1256
586	806	1255
587	808	1253
588	809	1252
589	811	1251
590	812	1249
591	813	1247
592	814	1245
593	815	1244
594	817	1242
595	818	1241
596	819	1240
597	821	1238
598	822	1237
599	823	1235
600	825	1234
601	826	1233
602	828	1231
603	829	1230
604	830	1229
605	832	1228
606	833	1226
607	835	1225
608	836	1224
609	838	1222
610	839	1221
611	840	1220
612	841	1218
613	843	1216
614	844	1215
615	845	1214
616	847	1212
617	848	1211
618	850	1210
619	851	1208
620	853	1207
621	854	1206
622	855	1204
623	857	1203
624	858	1202
625	860	1200
626	861	1199
627	862	1198
628	864	1196
629	865	1195
630	866	1193
631	868	1192
632	869	1191
633	870	1189
634	872	1188
635	873	1186
636	875	1185
637	876	1184
638	877	1182
639	879	1181
640	880	1180
641	881	1178
642	883	1177
643	884	1175
644	885	1174
645	887	1173
646	888	1171
647	890	1170
648	891	1168
649	892	1167
650	894	1166
651	895	1164
652	897	1163
653	898	1162
654	899	1160
655	901	1159
656	902	1158
657	903	1156
658	905	1155
659	907	1154
660	909	1153
661	910	1152
662	912	1151
663	931	1172
664	933	1171
665	934	1170
666	936	1169
667	937	1168
668	939	1166
669	940	1165
670	941	1163
671	943	1162
672	944	1160
673	946	1159
674	947	1157
675	948	1156
676	950	1155
677	951	1154
678	953	1153
679	955	1152
680	956	1150
681	958	1149
682	959	1148
683	961	1146
684	962	1145
685	964	1144
686	966	1143
687	966	1141
688	968	1139
689	969	1138
690	971	1137
691	973	1136
692	974	1134
693	976	1133
694	977	1132
695	979	1131
696	980	1129
697	982	1128
698	983	1127
699	985	1126
700	986	1124
701	988	1123
702	989	1122
703	991	1121
704	993	1120
705	995	1119
706	996	1117
707	998	1116
708	999	1115
709	1001	1114
710	1003	1113
711	1004	1112
712	1006	1110
713	1008	1109
714	1009	1108
715	1011	1107
716	1012	1105
717	1014	1104
718	1016	1103
719	1017	1102
720	1019	1101
721	1020	1100
722	1022	1098
723	1023	1097
724	1025	1096
725	1027	1095
726	1029	1094
727	1030	1092
728	1032	1091
729	1033	1090
730	1035	1089
731	1036	1087
732	1038	1087
733	1040	1086
734	1042	1084
735	1043	1083
736	1045	1081
737	1046	1080
738	1048	1079
739	1049	1078
740	1051	1077
741	1053	1076
742	1055	1074
743	1056	1073
744	1058	1072
745	1059	1070
746	1061	1069
747	1062	1068
748	1064	1067
749	1066	1066
750	1067	1065
751	1069	1063
752	1071	1062
753	1072	1061
754	1074	1060
755	1075	1058
756	1077	1057
757	1079	1056
758	1080	1055
759	1082	1053
760	1083	1052
761	1085	1051
762	1087	1049
763	1088	1048
764	1090	1047
765	1091	1046
766	1093	1044
767	1093	1042
768	1095	1040
769	1096	1039
770	1097	1038
771	1099	1036
772	1100	1035
773	1102	1033
774	1103	1032
775	1105	1031
776	1107	1030
777	1108	1028
778	1110	1027
779	1111	1026
780	1112	1024
781	1114	1023
782	1116	1022
783	1117	1020
784	1119	1019
785	1120	1017
786	1122	1016
787	1123	1015
788	1125	1014
789	1127	1012
790	1128	1011
791	1130	1010
792	1131	1008
793	1132	1007
794	1134	1005
795	1135	1004
796	1137	1003
797	1138	1001
798	1140	1000
799	1141	998
800	1142	997
801	1144	996
802	1145	994
803	1147	993
804	1148	991
805	1150	990
806	1151	988
807	1152	987
808	1154	985
809	1154	983
810	1155	982
811	1157	980
812	1159	979
813	1160	978
814	1162	976
815	1163	975
816	1165	974
817	1166	972
818	1168	971
819	1169	969
820	1170	968
821	1172	966
822	1173	965
823	1175	964
824	1176	962
825	1177	961
826	1179	959
827	1180	958
828	1182	956
829	1183	955
830	1184	953
831	1186	952
832	1187	950
833	1188	948
834	1189	947
835	1191	946
836	1192	944
837	1193	943
838	1195	941
839	1197	940
840	1198	939
841	1199	937
842	1201	936
843	1201	934
844	1203	932
845	1204	931
846	1206	929
847	1207	928
848	1208	926
849	1210	925
850	1211	923
851	1213	922
852	1214	921
853	1215	919
854	1217	918
855	1218	916
856	1220	915
857	1221	914
858	1222	912
859	1224	911
860	1225	909
861	1226	908
862	1228	906
863	1229	905
864	1231	903
865	1232	902
866	1233	900
867	1235	899
868	1236	897
869	1238	896
870	1239	895
871	1240	893
872	1242	892
873	1243	890
874	1245	889
875	1246	887
876	1247	886
877	1249	884
878	1250	883
879	1251	881
880	1253	880
881	1254	879
882	1255	877
883	1257	876
884	1258	874
885	1259	873
886	1261	871
887	1262	870
888	1264	868
889	1265	867
890	1266	865
891	1268	864
892	1269	862
893	1270	861
894	1272	860
895	1273	858
896	1275	857
897	1276	855
898	1277	854
899	1279	852
900	1280	851
901	1281	849
902	1283	848
903	1284	846
904	1285	845
905	1287	844
906	1288	842
907	1289	841
908	1291	839
909	1292	838
910	1294	836
911	1295	835
912	1296	833
913	1297	832
914	1299	830
915	1300	829
916	1301	827
917	1303	826
918	1304	824
919	1306	823
920	1307	821
921	1308	820
922	1310	818
923	1311	817
924	1312	816
925	1314	814
926	1315	813
927	1317	811
928	1318	810
929	1319	808
930	1321	807
931	1322	806
932	1324	805
933	1326	803
934	1327	802
935	1329	800
936	1330	799
937	1331	797
938	1333	796
939	1334	794
940	1335	793
941	1337	792
942	1338	790
943	1340	789
944	1341	787
945	1342	786
946	1344	784
947	1345	783
948	1346	782
949	1348	780
950	1349	779
951	1351	777
952	1352	776
953	1354	774
954	1356	774
955	1357	772
956	1359	771
957	1360	769
958	1361	768
959	1363	766
960	1364	765
961	1365	763
962	1367	762
963	1368	760
964	1369	759
965	1371	758
966	1372	756
967	1374	755
968	1375	753
969	1376	752
970	1378	750
971	1379	749
972	1380	747
973	1382	746
974	1383	745
975	1385	743
976	1386	742
977	1387	740
978	1389	739
979	1390	737
980	1391	736
981	1393	734
982	1394	733
983	1395	731
984	1397	730
985	1398	729
986	1399	727
987	1401	726
988	1402	724
989	1403	723
990	1405	721
991	1406	720
992	1407	718
993	1409	717
994	1410	715
995	1411	714
996	1413	713
997	1414	711
998	1416	710
999	1417	708
1000	1418	707
1001	1420	706
1002	1421	704
1003	1423	703
1004	1424	701
1005	1425	700
1006	1427	698
1007	1428	697
1008	1430	695
1009	1431	694
1010	1432	693
1011	1434	691
1012	1435	690
1013	1437	688
1014	1438	687
1015	1439	685
1016	1441	684
1017	1442	683
1018	1444	681
1019	1446	680
1020	1447	679
1021	1449	677
1022	1450	676
1023	1452	675
1024	1453	673
1025	1455	672
1026	1456	670
1027	1458	669
1028	1459	668
1029	1461	666
1030	1462	665
1031	1463	663
1032	1465	662
1033	1466	661
1034	1468	659
1035	1469	658
1036	1471	656
1037	1472	655
1038	1474	654
1039	1475	652
1040	1476	651
1041	1478	649
1042	1479	648
1043	1480	646
1044	1482	645
1045	1483	644
1046	1485	642
1047	1486	641
1048	1488	639
1049	1489	638
1050	1490	636
1051	1492	635
1052	1493	634
1053	1495	632
1054	1496	631
1055	1497	629
1056	1499	628
1057	1500	626
1058	1501	625
1059	1503	623
1060	1504	622
1061	1505	621
1062	1507	619
1063	1508	618
1064	1509	616
1065	1511	615
1066	1512	613
1067	1514	612
1068	1515	611
1069	1517	609
1070	1518	608
1071	1520	606
1072	1521	605
1073	1522	604
1074	1524	602
1075	1525	601
1076	1527	599
1077	1528	598
1078	1529	596
1079	1531	595
1080	1532	594
1081	1533	592
1082	1535	591
1083	1536	589
1084	1538	588
1085	1539	586
1086	1540	585
1087	1542	583
1088	1543	582
1089	1544	581
1090	1546	579
1091	1547	578
1092	1548	576
1093	1550	575
1094	1551	573
1095	1553	572
1096	1554	571
1097	1555	569
1098	1557	568
1099	1558	566
1100	1559	565
1101	1561	563
1102	1563	562
1103	1564	561
1104	1566	559
1105	1567	558
1106	1568	557
1107	1570	555
1108	1571	554
1109	1573	552
1110	1574	551
1111	1575	549
1112	1577	548
1113	1579	547
1114	1580	545
1115	1581	544
1116	1583	542
1117	1584	541
1118	1585	539
1119	1587	538
1120	1588	537
1121	1589	535
1122	1591	534
1123	1593	532
1124	1594	531
1125	1596	530
1126	1597	528
1127	1598	527
1128	1600	525
1129	1601	524
1130	1603	523
1131	1604	521
1132	1605	520
1133	1608	519
1134	1609	517
1135	1611	516
1136	1612	514
1137	1613	513
1138	1615	511
1139	1616	510
1140	1617	509
1141	1619	507
1142	1620	506
1143	1621	504
1144	1623	503
1145	1624	501
1146	1625	500
1147	1627	498
1148	1628	497
1149	1629	496
1150	1631	494
1151	1632	493
1152	1634	491
1153	1635	490
1154	1636	488
1155	1638	487
1156	1639	486
1157	1640	484
1158	1642	483
1159	1643	481
1160	1644	480
1161	1646	478
1162	1647	477
1163	1649	476
1164	1650	474
1165	1651	473
1166	1653	471
1167	1654	470
1168	1655	468
1169	1657	467
1170	1658	466
1171	1660	464
1172	1661	463
1173	1662	461
1174	1664	460
1175	1665	458
1176	1667	457
1177	1668	456
1178	1670	454
1179	1671	453
1180	1672	451
1181	1674	450
1182	1675	448
1183	1676	447
1184	1678	446
1185	1679	444
1186	1681	443
1187	1683	442
1188	1684	440
1189	1686	439
1190	1687	437
1191	1688	436
1192	1690	434
1193	1691	433
1194	1693	432
1195	1694	430
1196	1696	429
1197	1697	427
1198	1699	426
1199	1700	425
1200	1701	423
1201	1703	422
1202	1704	420
1203	1705	419
1204	1707	417
1205	1708	416
1206	1709	415
1207	1711	413
1208	1712	412
1209	1713	410
1210	1715	409
1211	1716	407
1212	1717	406
1213	1719	405
1214	1720	403
1215	1721	402
1216	1723	400
1217	1724	399
1218	1726	397
1219	1727	396
1220	1728	395
1221	1730	393
1222	1731	392
1223	1733	390
1224	1734	389
1225	1735	387
1226	1737	386
1227	1738	385
1228	1739	383
1229	1741	382
1230	1742	380
1231	1743	379
1232	1745	377
1233	1746	376
1234	1747	375
1235	1749	373
1236	1750	372
1237	1751	370
1238	1753	369
1239	1754	367
1240	1756	366
1241	1757	365
1242	1758	363
1243	1760	362
1244	1761	360
1245	1762	359
1246	1764	357
1247	1765	356
1248	1767	355
1249	1768	353
1250	1769	352
1251	1771	350
1252	1772	349
1253	1773	347
1254	1775	346
1255	1776	345
1256	1777	343
1257	1779	342
1258	1780	340
1259	1781	339
1260	1783	337
1261	1784	336
1262	1785	335
1263	1787	333
1264	1788	332
1265	1790	330
1266	1791	329
1267	1792	328
1268	1794	326
1269	1795	325
1270	1796	323
1271	1798	322
1272	1800	320
1273	1801	319
1274	1802	318
1275	1804	316
1276	1805	315
1277	1806	313
1278	1808	312
1279	1809	311
1280	1810	309
1281	1812	308
1282	1813	306
1283	1815	305
1284	1816	303
1285	1817	302
1286	1819	301
1287	1820	299
1288	1821	298
1289	1823	296
1290	1824	295
1291	1825	293
1292	1827	292
1293	1828	291
1294	1830	289
1295	1831	288
1296	1832	286
1297	1834	285
1298	1835	284
1299	1836	282
1300	1838	281
1301	1839	279
1302	1840	278
1303	1842	276
1304	1843	275
1305	1844	274
1306	1846	272
1307	1847	271
1308	1848	269
1309	1850	268
1310	1851	266
1311	1852	265
1312	1854	264
1313	1855	262
1314	1857	261
1315	1858	259
1316	1860	258
1317	1861	257
1318	1862	255
1319	1864	254
1320	1865	252
1321	1866	251
1322	1868	249
1323	1869	248
1324	1870	247
1325	1872	245
1326	1874	244
1327	1875	242
1328	1877	241
1329	1913	244
1330	1915	243
1331	1917	241
1332	1919	240
1333	1920	238
1334	1921	237
1335	1923	236
1336	1924	234
1337	1925	233
1338	1927	231
1339	1928	230
1340	1929	228
1341	1931	227
1342	1932	225
1343	1934	224
1344	1935	223
1345	1936	221
1346	1938	220
1347	1939	218
1348	1940	217
1349	1942	215
1350	1943	214
1351	1944	212
1352	1946	211
1353	1947	210
1354	1949	208
1355	1950	207
1356	1951	205
1357	1953	204
1358	1954	202
1359	1955	201
1360	1957	199
1361	1958	198
1362	1959	196
1363	1961	195
1364	1962	194
1365	1964	192
1366	1965	191
1367	1966	189
1368	1968	188
1369	1969	186
1370	1971	185
1371	1972	184
1372	1973	182
1373	1975	181
1374	1976	179
1375	1977	178
1376	1979	176
1377	1981	175
1378	1982	173
1379	1984	172
1380	1985	171
1381	1986	169
1382	1988	168
1383	1989	166
1384	1991	165
1385	1992	163
1386	1993	162
1387	1995	161
1388	1996	159
1389	1998	158
1390	1999	156
1391	2000	155
1392	2002	153
1393	2003	152
1394	2004	150
1395	2006	149
1396	2007	148
1397	2008	146
1398	2010	145
1399	2011	143
1400	2013	142
1401	2014	140
1402	2015	139
1403	2017	137
1404	2018	136
1405	2019	135
1406	2021	133
1407	2022	132
1408	2024	130
1409	2025	129
1410	2026	127
1411	2028	126
1412	2029	124
1413	2031	123
1414	2032	122
1415	2033	120
1416	2035	119
1417	2036	117
1418	2037	116
1419	2039	114
1420	2040	113
1421	2041	112
1422	2043	110
1423	2044	109
1424	2045	107
1425	2047	106
1426	2048	104
1427	2049	103
1428	2051	101
1429	2052	100
1430	2054	99
1431	2055	97
1432	2056	96
1433	2058	94
1434	2059	93
1435	2060	91
1436	2062	90
1437	2063	88
1438	2064	87
1439	2066	86
1440	2067	84
1441	2069	83
1442	2070	81
1443	2071	80
1444	2073	78
1445	2074	77
1446	2075	76
1447	2077	74
1448	2078	73
1449	2079	71
1450	2081	70
1451	2082	68
1452	2083	67
1453	2085	65
1454	2086	64
1455	2087	63
1456	2089	61
1457	2090	60
1458	2091	58
1459	2093	57
1460	2094	55
1461	2095	54
1462	2097	53
1463	2098	51
1464	2100	50
1465	2101	48
1466	2103	47
1467	2104	45
1468	2105	44
1469	2107	43
1470	2108	41
1471	2109	40
1472	2111	38
1473	2112	37
1474	2114	35
1475	2115	34
1476	2116	32
1477	2118	31
1478	2119	30
1479	2120	28
1480	2122	27
1481	2123	25
1482	2124	24
1483	2126	22
1484	2127	21
1485	2129	20
1486	2130	18
1487	2131	17
1488	2133	15
1489	2134	14
1490	2135	12
1491	2137	11
1492	2138	10
1493	2139	8
1494	2141	7
1495	2142	5
1496	2144	4
1497	2145	2
1498	2146	1
1499	2148	0
